,Unnamed: 0,star_names,distance,mass,radius,Unnamed: 6,Star_name.1,Distance.1,Mass.1,Radius.1,Luminosity.1
0,0,Sun,0.000015813,1,1,0,Sun,0.000015813,1,1,1
1,1,Sirius,0008.6,2.1,1.71´,1,Sirius,0008.6,2.1,1.71´,25.4
2,2,Canopus,0310,15,71,2,Canopus,0310,15,71,"13,500"
3,3,Alpha Centauri,0004.4,1.1,1.2,3,Alpha Centauri,0004.4,1.1,1.2,2
4,4,Arcturus,0037,1.1,26,4,Arcturus,0037,1.1,26,170
5,5,Vega,0025,2.2,2.7,5,Vega,0025,2.2,2.7,50
6,6,Capella,0043,2.6,12,6,Capella,0043,2.6,12,150
7,7,Rigel,0860,23,78.9,7,Rigel,0860,23,78.9,"120,000"
8,8,Procyon,0011.4,1.5,1.9,8,Procyon,0011.4,1.5,1.9,7.7
9,9,Betelgeuse,0640[1],20,950,9,Betelgeuse,0640[1],20,950,"60,000"
10,10,Achernar,0144,6.7,9.3,10,Achernar,0144,6.7,9.3,"3,000"
11,11,Hadar,0390,10.5,8.6,11,Hadar,0390,10.5,8.6,"42,000"
12,12,Altair,0017,1.8,1.8,12,Altair,0017,1.8,1.8,10.5
13,13,Acrux,0320,18,8.9,13,Acrux,0320,18,8.9,"25,000"
14,14,Aldebaran,0065,1.5,44,14,Aldebaran,0065,1.5,44,520
15,15,Antares,0600,12,680,15,Antares,0600,12,680,"75,000"
16,16,Spica,0260,11.43,7.47,16,Spica,0260,11.43,7.47,"20,512"
17,17,Pollux,0034,1.9,8.8,17,Pollux,0034,1.9,8.8,43
18,18,Fomalhaut,0025,1.9,1.8,18,Fomalhaut,0025,1.9,1.8,16.6
19,19,Deneb,"2,600",19,203,19,Deneb,"2,600",19,203,"200,000"
20,20,Mimosa,0350,16,8.4,20,Mimosa,0350,16,8.4,"34,000"
21,21,Regulus,0077,3.8,3.1,21,Regulus,0077,3.8,3.1,290
22,22,Adhara,0430,12.5,14,22,Adhara,0430,12.5,14,"39,000"
23,23,Shaula,0700,14.5,8.8,23,Shaula,0700,14.5,8.8,"36,000"
24,24,Castor,0052,2.8,2.4,24,Castor,0052,2.8,2.4,30
25,25,Gacrux,0088,1.5,84,25,Gacrux,0088,1.5,84,820
26,26,Bellatrix,0240,8.6,5.8,26,Bellatrix,0240,8.6,5.8,"9,200"
27,27,Elnath,0130,5.0,4.2,27,Elnath,0130,5.0,4.2,700
28,28,Miaplacidus,0110,3.5,6.8,28,Miaplacidus,0110,3.5,6.8,290
29,29,Alnilam,"2,000",32,42,29,Alnilam,"2,000",32,42,"380,000"
30,30,Gamma Velorum,"01,100",9.0,6,30,Gamma Velorum,"01,100",9.0,6,"170,000"
31,31,Alnair,0101,4.0,3.4,31,Alnair,0101,4.0,3.4,260
32,32,Alioth,0081,2.9,4.2,32,Alioth,0081,2.9,4.2,110
33,33,Alnitak,01050,33,20,33,Alnitak,01050,33,20,"120,000"
34,34,Dubhe,0120,4.25,30,34,Dubhe,0120,4.25,30,300
35,35,Mirfak,0590,8.5,68,35,Mirfak,0590,8.5,68,"5,000"
36,36,Wezen,"1,600",17,200,36,Wezen,"1,600",17,200,"82,000"
37,37,Sargas,0270,5.7,26,37,Sargas,0270,5.7,26,"1,800"
38,38,Kaus Australis,0140,3.5,6.8,38,Kaus Australis,0140,3.5,6.8,360
39,39,Avior,0630,9.0,130,39,Avior,0630,9.0,130,"60,000"
40,40,Alkaid,0104,6.1,3.4,40,Alkaid,0104,6.1,3.4,"1,350"
41,41,Menkalinan,081,2.39,2.77,41,Menkalinan,081,2.39,2.77,50
42,42,Atria,0390,7,92,42,Atria,0390,7,92,"5,500"
43,43,Alhena,0109,2.8,3.3,43,Alhena,0109,2.8,3.3,120
44,44,Peacock,0180,5.9,4.8,44,Peacock,0180,5.9,4.8,"2,200"
45,45,Alsephina[2],0080,2.4,2.9,45,Alsephina[2],0080,2.4,2.9,90
46,46,Mirzam,0500,13.5,10,46,Mirzam,0500,13.5,10,"27,000"
47,47,Polaris,0430,5.4,39,47,Polaris,0430,5.4,39,"2,500"
48,48,Alphard,0180,3.0,50,48,Alphard,0180,3.0,50,780
49,49,Mintaka,01200,24,16.5,49,Mintaka,01200,24,16.5,"190,000"
